"message","link","permalink_url","created_time","type","id","comments.data","comments.summary.order","comments.summary.total_count","comments.summary.can_comment","likes.data","likes.summary.total_count","likes.summary.can_like","likes.summary.has_liked","reactions.data","reactions.summary.total_count","reactions.summary.viewer_reaction"
"When Tiger Woods plays golf, the world watches. Welcome Back.","https://www.facebook.com/nike/videos/10156012418158445/","https://www.facebook.com/nike/videos/10156012418158445/","2018-04-05T16:45:46+0000","video","15087023444_10156012418158445","[]","ranked","2563","true","[]","59911","true","false","[]","65511","NONE"
"When our world gets stuck, there’s only one option - #ChooseGo.

Nike.com/ChooseGo","https://www.facebook.com/nike/videos/10155886264428445/","https://www.facebook.com/nike/videos/10155886264428445/","2018-03-01T15:02:18+0000","video","15087023444_10155886264428445","[]","ranked","986","true","[]","12842","true","false","[]","16213","NONE"
"Age is just a number until you’re number one. 
Roger Federer","https://www.facebook.com/nike/videos/10155846581253445/","https://www.facebook.com/nike/videos/10155846581253445/","2018-02-16T20:19:46+0000","video","15087023444_10155846581253445","[]","ranked","922","true","[]","14344","true","false","[]","17342","NONE"
"Welcome to All-Star Weekend in Los Angeles.
⠀⠀ ⠀
This weekend, we celebrate the makers of the game. Those who revolutionize sport and culture, and do it like it’s never been done before. From the legacy of Kobe Bryant to those inventing the future, we are #MakersOfTheGame. #NBAAllStar","https://www.facebook.com/nike/videos/10155843350358445/","https://www.facebook.com/nike/videos/10155843350358445/","2018-02-15T17:52:17+0000","video","15087023444_10155843350358445","[]","ranked","216","true","[]","3536","true","false","[]","3802","NONE"
"Outplay yourself.

Roger Federer, Melbourne's defending champion and holder of 19 major titles, just beat his own record, by winning 20. #justdoit","https://www.facebook.com/nike/photos/a.440612488444.242105.15087023444/10155790686743445/?type=3","https://www.facebook.com/15087023444/posts/10155790703238445/","2018-01-28T11:40:16+0000","photo","15087023444_10155790703238445","[]","ranked","378","true","[]","13833","true","false","[]","15138","NONE"
"MJ never lost, he learned. #WinLike96","https://www.facebook.com/nike/videos/10155640797723445/","https://www.facebook.com/nike/videos/10155640797723445/","2017-12-08T15:59:20+0000","video","15087023444_10155640797723445","[]","ranked","1237","true","[]","32840","true","false","[]","36501","NONE"
"Some things are NY made.
Others were made for NY.
Odell Beckham Jr x #AF1","https://www.facebook.com/nike/videos/10155589061873445/","https://www.facebook.com/nike/videos/10155589061873445/","2017-11-22T00:01:56+0000","video","15087023444_10155589061873445","[]","ranked","344","true","[]","5143","true","false","[]","5419","NONE"
"The moment Mike Jordan became Michael Jordan. #WinLike82","https://www.facebook.com/nike/videos/10155551912958445/","https://www.facebook.com/nike/videos/10155551912958445/","2017-11-08T23:27:41+0000","video","15087023444_10155551912958445","[]","ranked","493","true","[]","12728","true","false","[]","13747","NONE"
"Only you can cross your finish line. Congrats Kevin Hart for Breaking 26.2 at #TCSNYCMarathon","https://www.facebook.com/nike/photos/a.440612488444.242105.15087023444/10155546410623445/?type=3","https://www.facebook.com/15087023444/posts/10155546415988445/","2017-11-07T01:10:33+0000","photo","15087023444_10155546415988445","[]","ranked","265","true","[]","9150","true","false","[]","9565","NONE"
"Shalane Flanagan.
After years of medals earned on the world stage, and a grueling 9-month injury recovery, her legacy is cemented on the streets of NYC, as the first American woman in 40 years to win the #TCSNYCMarathon. 

Geoffrey Kamworor.
Made his mark in the mud as a world cross country champion. Took to the track for titles won. Turned to the roads to face the world’s best in the marathon. And set a blistering pace on the concrete of NYC, to capture his first major marathon victory.

Congratulations Shalane Flanagan and Geoffrey Kamworor on your triumphant breakthrough victories in NYC.","https://www.facebook.com/nike/photos/a.440612488444.242105.15087023444/10155545135178445/?type=3","https://www.facebook.com/15087023444/posts/10155545152423445/","2017-11-06T15:01:19+0000","photo","15087023444_10155545152423445","[]","ranked","186","true","[]","5553","true","false","[]","5844","NONE"
"“I’m running toward the ground that I’m breaking. Towards history.” Kevin Hart is going after his first 26.2 this weekend in New York City. #breakthrough","https://www.facebook.com/nike/videos/10155536990883445/","https://www.facebook.com/nike/videos/10155536990883445/","2017-11-03T16:01:17+0000","video","15087023444_10155536990883445","[]","ranked","1181","true","[]","34021","true","false","[]","37104","NONE"
"Never bet against Houston.
Never let some Vegas oddsmaker tell you how it’ll end up,
or the evening news tell you it’ll never be the same.
Never take on a city that has U.S. in the middle of it.
Never forget this is Houston we’re talking about.
World champions.
If you think that’s where this story ends, you’ve never been to Houston.","https://www.facebook.com/nike/photos/a.440612488444.242105.15087023444/10155532599448445/?type=3","https://www.facebook.com/15087023444/posts/10155532600988445/","2017-11-02T04:07:10+0000","photo","15087023444_10155532600988445","[]","ranked","392","true","[]","13420","true","false","[]","16524","NONE"
"Introducing the Nike NBA Connected Jersey.

Tap your jersey to unlock exclusive access to highlights, Nike gear, and more.

Learn more at nike.com/NBA #NIKExNBA","https://www.facebook.com/nike/videos/10155433450398445/","https://www.facebook.com/nike/videos/10155433450398445/","2017-09-29T14:01:33+0000","video","15087023444_10155433450398445","[]","ranked","1833","true","[]","14763","true","false","[]","16839","NONE"
"\"2:02:57; to many people it’s a barrier. To me, it’s slower than my personal best.\"

This weekend Eliud Kipchoge chases the world record in Berlin. #Breakthrough","https://www.facebook.com/nike/videos/10155411952358445/","https://www.facebook.com/nike/videos/10155411952358445/","2017-09-22T15:01:28+0000","video","15087023444_10155411952358445","[]","ranked","780","true","[]","4537","true","false","[]","4872","NONE"
"It’s time to put ‘em on skates. #MakeEmMiss #AlphaMenace 

Russell Wilson Nike Football","https://www.facebook.com/nike/videos/10155397639143445/","https://www.facebook.com/nike/videos/10155397639143445/","2017-09-17T16:01:31+0000","video","15087023444_10155397639143445","[]","ranked","914","true","[]","8864","true","false","[]","10287","NONE"
"Nike and the NBA introduce new Statement Edition Uniform, first on-court hooded jacket, and the first NBA Connected Jersey. #NIKExNBA","https://www.facebook.com/nike/videos/10155392583273445/","https://www.facebook.com/nike/videos/10155392583273445/","2017-09-16T01:26:07+0000","video","15087023444_10155392583273445","[]","ranked","390","true","[]","3840","true","false","[]","4355","NONE"
"Proof there's nothing to prove.

3 New York titles.
16 majors won.
Still number 1.
Rafa Nadal #JustDoIt","https://www.facebook.com/nike/photos/a.440612488444.242105.15087023444/10155379913133445/?type=3","https://www.facebook.com/15087023444/posts/10155379942303445/","2017-09-10T22:56:08+0000","photo","15087023444_10155379942303445","[]","ranked","332","true","[]","11745","true","false","[]","13096","NONE"
"You don’t play Roger Federer on grass. You play on his grass. #JustDoIt","https://www.facebook.com/nike/videos/10155201152568445/","https://www.facebook.com/nike/videos/10155201152568445/","2017-07-16T15:07:22+0000","video","15087023444_10155201152568445","[]","ranked","1205","true","[]","39230","true","false","[]","43429","NONE"
"Introducing the Nike FE/NOM Flyknit Bra. The first-ever sports bra with Nike Flyknit technology. It's incredibly supportive and impossibly light.","https://swoo.sh/2u7lnGQ","https://www.facebook.com/15087023444/posts/10155177683618445/","2017-07-12T15:02:40+0000","link","15087023444_10155177683618445","[]","ranked","182","true","[]","2650","true","false","[]","2767","NONE"
"Still KD: Through the Noise
 
Watch the full documentary here: gonike.me/Still-KD","https://www.facebook.com/nike/videos/10155173368703445/","https://www.facebook.com/nike/videos/10155173368703445/","2017-07-11T16:02:09+0000","video","15087023444_10155173368703445","[]","ranked","196","true","[]","5110","true","false","[]","5432","NONE"
"The best of today meets the best of tomorrow. Odell Beckham Jr crashes #TheOpening.","https://www.facebook.com/nike/videos/10155157970808445/","https://www.facebook.com/nike/videos/10155157970808445/","2017-07-07T04:21:45+0000","video","15087023444_10155157970808445","[]","ranked","159","true","[]","4215","true","false","[]","4413","NONE"
"Why Not Zero?
 
The math adds up. Russell Westbrook is the 2017 NBA MVP.","https://www.facebook.com/nike/videos/10155114490003445/","https://www.facebook.com/nike/videos/10155114490003445/","2017-06-27T05:17:52+0000","video","15087023444_10155114490003445","[]","ranked","421","true","[]","8905","true","false","[]","9587","NONE"
"One is difficult. Two is impressive. Ten is Rafa. Rafa Nadal","https://www.facebook.com/nike/videos/10155060818038445/","https://www.facebook.com/nike/videos/10155060818038445/","2017-06-11T15:27:56+0000","video","15087023444_10155060818038445","[]","ranked","1000","true","[]","31346","true","false","[]","37012","NONE"
"Eliud Kipchoge - 2:00:25

The barrier just got that much closer. #Breaking2 #JustDoIt","https://www.facebook.com/nike/videos/10154923897203445/","https://www.facebook.com/nike/videos/10154923897203445/","2017-05-06T09:57:27+0000","video","15087023444_10154923897203445","[]","ranked","1812","true","[]","56938","true","false","[]","63780","NONE"
"Eliud Kipchoge - 2:00:25

The barrier just got that much closer. #Breaking2 #JustDoIt","https://www.facebook.com/nike/photos/a.440612488444.242105.15087023444/10154923624398445/?type=3","https://www.facebook.com/15087023444/posts/10154923624398445/","2017-05-06T08:03:56+0000","photo","15087023444_10154923624398445","[]","ranked","515","true","[]","15138","true","false","[]","16861","NONE"
"Triple-double record? #WhyNot? Russell Westbrook","https://www.facebook.com/nike/videos/10154816918118445/","https://www.facebook.com/nike/videos/10154816918118445/","2017-04-10T00:02:52+0000","video","15087023444_10154816918118445","[]","ranked","309","true","[]","7515","true","false","[]","7972","NONE"
"Neymar Jr. brings Air Max Day to a close in Times Square, but the revolution never ends. #airmax","https://www.facebook.com/nike/videos/10154765691343445/","https://www.facebook.com/nike/videos/10154765691343445/","2017-03-27T03:15:00+0000","video","15087023444_10154765691343445","[]","ranked","304","true","[]","10191","true","false","[]","10873","NONE"
"It's not a shoe, it's a movement. #AirMax","https://www.facebook.com/nike/videos/10154765645488445/","https://www.facebook.com/nike/videos/10154765645488445/","2017-03-27T01:35:32+0000","video","15087023444_10154765645488445","[]","ranked","433","true","[]","17303","true","false","[]","18835","NONE"
"Air Max Day is coming. What pair will you wear? #airmax","https://www.facebook.com/nike/videos/10154760805628445/","https://www.facebook.com/nike/videos/10154760805628445/","2017-03-25T17:59:01+0000","video","15087023444_10154760805628445","[]","ranked","525","true","[]","14674","true","false","[]","15871","NONE"
"Great minds think alike. #airmax Draymond Green","https://www.facebook.com/nike/videos/10154758205093445/","https://www.facebook.com/nike/videos/10154758205093445/","2017-03-25T14:01:25+0000","video","15087023444_10154758205093445","[]","ranked","117","true","[]","4289","true","false","[]","4682","NONE"
